,POI,lat,long
0,restaurant,51.5519444,-0.3005556
1,restaurant,51.55193,-0.2988575
2,restaurant,51.5516179,-0.3109977
3,restaurant,51.5547529,-0.3155849
4,restaurant,51.5535726,-0.2965667
5,restaurant,51.5525105,-0.2992985
6,restaurant,51.55121889999999,-0.2988651
7,restaurant,51.5522663,-0.2995876
8,restaurant,51.5497671,-0.2981809
9,restaurant,51.5519416,-0.3000059
10,restaurant,51.5620143,-0.3022935
11,restaurant,51.5521296,-0.2987646
12,restaurant,51.5519633,-0.2998557
13,restaurant,51.55188949999999,-0.2994476
14,restaurant,51.5518675,-0.2993087
15,restaurant,51.5513008,-0.2988938
16,restaurant,51.5547543,-0.3155863
17,restaurant,51.5519508,-0.3001034
18,restaurant,51.5523236,-0.2959122
19,restaurant,51.5513551,-0.2985958
20,groceries,51.5516589,-0.2958559
21,groceries,51.5552026,-0.316064
22,groceries,51.551761,-0.2955038
23,groceries,51.5625295,-0.3055928
24,groceries,51.5514976,-0.2987016
25,groceries,51.56263860000001,-0.2973263
26,groceries,51.5519451,-0.2997143
27,groceries,51.5532626,-0.2951744
28,groceries,51.555857,-0.3164145
29,groceries,51.55085589999999,-0.2987837
30,groceries,51.5520297,-0.2979571
31,groceries,51.5629466,-0.3052685
32,groceries,51.5520611,-0.3010505
33,church,51.552738,-0.3018095000000001
34,church,51.55253039999999,-0.3143705
35,church,51.5507856,-0.295624
36,church,51.5540741,-0.2966979
37,church,51.5557903,-0.3180369
38,church,51.5624056,-0.29914
39,church,51.5621796,-0.2929062
40,church,51.5535586,-0.2927215
41,church,51.55541849999999,-0.2934007
42,church,51.5560693,-0.3181335
43,church,51.5557795,-0.3181752
44,church,51.5470883,-0.2972853
45,church,51.5470087,-0.2969897
46,church,51.5623424,-0.3061558
47,church,51.5470512,-0.2972938
48,bus,51.551579,-0.307501
49,bus,51.5519978,-0.3050414
50,bus,51.55027399999999,-0.300121
51,bus,51.551617,-0.299003
52,bus,51.5527528,-0.2962783
53,bus,51.555439,-0.315926
54,bus,51.561951,-0.296656
55,bus,51.5511743,-0.3155604
56,bus,51.552052,-0.298035
57,bus,51.55159,-0.297144
58,bus,51.55222699999999,-0.30074
59,bus,51.550934,-0.313496
60,bus,51.55209989999999,-0.2976929
61,bus,51.549782,-0.310813
62,bus,51.5521402,-0.3012171
63,bus,51.55046369999999,-0.312881
64,bus,51.562172,-0.297081
65,bus,51.562618,-0.306053
66,bus,51.55409599999999,-0.314341
67,bus,51.5495364,-0.305845
68,school,51.56168700000001,-0.2961265
69,school,51.5525813,-0.3024303
70,school,51.5616666,-0.2949061
71,school,51.5499771,-0.3052628
72,school,51.54849919999999,-0.3071678
73,school,51.5558109,-0.2938323
74,school,51.5631634,-0.3076513
75,school,51.5509897,-0.2996856000000001
76,school,51.5470931,-0.2965494
77,school,51.5612996,-0.2943739
78,school,51.5582447,-0.316656
79,school,51.5535268,-0.2934669
80,school,51.562752,-0.311042
81,school,51.56307289999999,-0.3106488
82,school,51.5542406,-0.2936869
83,hospital,51.5630655,-0.3002993
84,hotel,51.5522778,-0.2963884
85,hotel,51.5520338,-0.302581
86,hotel,51.5516587,-0.3109334
87,hotel,51.5538126,-0.2964735
88,hotel,51.55265290000001,-0.3003162
89,hotel,51.5518657,-0.2988339
90,hotel,51.5518071,-0.2944801
91,hotel,51.5523394,-0.2948779
92,hotel,51.5536089,-0.2991962
93,university,51.55115900000001,-0.298518
94,university,51.5524543,-0.2973468
95,university,51.5521504,-0.2948066
96,university,51.5613452,-0.2928131
97,bar,51.5522589,-0.300455
98,bar,51.5510204,-0.2987599
99,bar,51.55498009999999,-0.3157854
100,bar,51.5535905,-0.2931114
101,bar,51.5549808,-0.315786
102,bar,51.5626476,-0.2922365
103,bar,51.5556498,-0.3167326
104,bar,51.55356459999999,-0.2927811
105,bar,51.5555907,-0.3159947
106,cafe,51.5521258,-0.297251
107,cafe,51.552282,-0.296356
108,cafe,51.5494322,-0.2976746
109,cafe,51.551883,-0.299562
110,cafe,51.5520667,-0.2960251
111,cafe,51.5564937,-0.3168364
112,cafe,51.5520817,-0.3012232
113,cafe,51.5625991,-0.2921866
114,cafe,51.5523675,-0.2973891
115,cafe,51.5517081,-0.2970768
116,bank,51.5522018,-0.2983188
117,bank,51.5530413,-0.2957318
118,bank,51.5522131,-0.2992948
119,bank,51.55275959999999,-0.2965625
120,bank,51.5518751,-0.2992127
121,bank,51.5527947,-0.2964253
122,bank,51.54917469999999,-0.2974903
123,bank,51.55320099999999,-0.295535
124,bank,51.5532099,-0.2944684
125,bank,51.5534911,-0.2944792
126,bank,51.5535291,-0.3147805
127,police,51.55158549999999,-0.3056798
128,post,51.55579179999999,-0.316968
129,post,51.553589,-0.293299
130,post,51.5626074,-0.3049778
131,post,51.5630056,-0.3018361
132,post,51.5557782,-0.3169379
133,shopping mall,51.5525088,-0.2958293
134,shopping mall,51.5523907,-0.2973188
135,shopping mall,51.5535473,-0.2925886
136,gym,51.5516221,-0.2963273
137,gym,51.5531904,-0.2953778
138,gym,51.5593475,-0.3163898000000001
139,gym,51.5517219,-0.2962042
140,gym,51.5534401,-0.2946719
141,gym,51.557935,-0.295266
142,gym,51.5531976,-0.3123214
143,gym,51.5517364,-0.2929709
144,homeless shelter,51.5540777,-0.2966411
145,train,51.55433,-0.3156451
146,train,51.55214429999999,-0.2965274
147,train,51.5627879,-0.3041946
148,train,51.5503085,-0.316207
149,train,51.56254999999999,-0.30398
150,train,51.550816,-0.3157220000000001
151,parking,51.5518216,-0.2970276000000001
152,parking,51.551536,-0.29832
153,parking,51.55266,-0.312685
154,parking,51.5536149,-0.2971938
155,parking,51.5508418,-0.3149239
156,parking,51.5540418,-0.2955984
157,parking,51.5525166,-0.2939969
158,parking,51.554131,-0.294509
159,parking,51.5515019,-0.2941635
160,parking,51.5505927,-0.2997985
161,"atm,",51.5557844,-0.3170158
162,"atm,",51.5527226,-0.2964675
163,"atm,",51.5554928,-0.3158467
164,"atm,",51.5625842,-0.3049451
165,park,51.5573557,-0.2968104
166,park,51.55337,-0.3100949
167,park,51.5568456,-0.318113
168,park,51.5471403,-0.3066724
169,market,51.5519156,-0.2994689
170,market,51.5507898,-0.2982636
171,market,51.55176300000001,-0.2978933
172,market,51.5625306,-0.3052697
173,market,51.5489475,-0.2989135
174,market,51.5534832,-0.2925913
175,market,51.5528608,-0.2953987
176,market,51.5535153,-0.3146824
177,library,51.5521574,-0.3113782
178,library,51.5495166,-0.297503
179,library,51.5521341,-0.3111562
180,restaurant,51.571425,-0.3081628
181,restaurant,51.5665123,-0.3044505
182,restaurant,51.5624756,-0.305921
183,restaurant,51.5712744,-0.3081124
184,restaurant,51.5676821,-0.3055123
185,restaurant,51.5715329,-0.294948
186,restaurant,51.5727081,-0.2943857
187,restaurant,51.5644413,-0.29989
188,restaurant,51.5626033,-0.3051132
189,restaurant,51.56738379999999,-0.3050034
190,restaurant,51.5696929,-0.2952646
191,restaurant,51.5624979,-0.3057393
192,restaurant,51.562304,-0.3065951
193,restaurant,51.569595,-0.2943983
194,restaurant,51.5712009,-0.2945834
195,restaurant,51.5623174,-0.3065394
196,restaurant,51.5625154,-0.2999988
197,restaurant,51.56226789999999,-0.2924071
198,restaurant,51.573346,-0.2942564
199,groceries,51.5707284,-0.2951302
200,groceries,51.56415680000001,-0.3011862
201,groceries,51.5664576,-0.3051294
202,church,51.56866160000001,-0.3059331
203,church,51.5645073,-0.3019765
204,church,51.5739763,-0.293039
205,church,51.5693505,-0.2922006
206,church,51.5709242,-0.2940946
207,bus,51.570621,-0.307371
208,bus,51.569012,-0.301717
209,bus,51.569954,-0.295477
210,bus,51.570934,-0.294892
211,bus,51.572365,-0.294781
212,bus,51.571896,-0.294654
213,bus,51.56283999999999,-0.312234
214,bus,51.575405,-0.294291
215,bus,51.562843,-0.301081
216,bus,51.562061,-0.318668
217,bus,51.569496,-0.294744
218,bus,51.572956,-0.292738
219,bus,51.576107,-0.294915
220,bus,51.562008,-0.318209
221,bus,51.5626973,-0.3007453
222,bus,51.575283,-0.309406
223,bus,51.565506,-0.293782
224,bus,51.57270399999999,-0.2921130000000001
225,school,51.5709684,-0.3001144
226,school,51.56926,-0.3112171
227,school,51.56763489999999,-0.3046805
228,school,51.5704231,-0.3049519
229,school,51.5693703,-0.3124902
230,school,51.5624311,-0.2968167
231,school,51.5685634,-0.3058688
232,school,51.57441739999999,-0.2945128
233,school,51.5682651,-0.2929156
234,school,51.5694467,-0.2925903
235,hotel,51.5611231,-0.3192259
236,university,51.5662104,-0.2931366
237,bar,51.5705865,-0.3077596
238,bar,51.572892,-0.2943667
239,cafe,51.5664062,-0.3011792
240,cafe,51.571862,-0.294909
241,cafe,51.5720971,-0.2948749
242,cafe,51.5710366,-0.2949499
243,cafe,51.5645234,-0.3017757
244,cafe,51.56249,-0.3058031
245,bank,51.5706819,-0.2949859
246,post,51.5708638,-0.3078621
247,post,51.5724811,-0.2948859
248,post,51.57092,-0.30778
249,post,51.5725068,-0.2948099
250,shopping mall,51.57075,-0.2949925
251,gym,51.5683459,-0.3041636
252,train,51.570181,-0.3083981
253,train,51.57197,-0.29508
254,parking,51.5735131,-0.2954296
255,parking,51.5732272,-0.3144356
256,parking,51.5712086,-0.3008653
257,parking,51.5746635,-0.3191747
258,parking,51.575087,-0.3175215
259,"atm,",51.5709337,-0.307834
260,"atm,",51.57247479999999,-0.2948858
261,"atm,",51.5627073,-0.301243
262,park,51.5736485,-0.3124122
263,park,51.5710078,-0.3027973
264,park,51.5648054,-0.318165
265,park,51.56506700000001,-0.318061
266,park,51.57433,-0.2959587
267,park,51.5762261,-0.3011199
268,market,51.5709312,-0.3078818
269,market,51.5727812,-0.2947764
270,market,51.5711508,-0.2944315
271,market,51.5634921,-0.300488
