Sunlight,Year-Month
2.4481015467796783,2001-01-01
3.1253192939275354,2001-02-01
2.9532996198434636,2001-03-01
4.744444856164671,2001-04-01
7.725524486993881,2001-05-01
6.8452113175308495,2001-06-01
6.3880907359193335,2001-07-01
5.905760127889393,2001-08-01
4.048801527022668,2001-09-01
3.5826359631670686,2001-10-01
2.380912171790139,2001-11-01
2.396143216253251,2001-12-01
1.495514580698887,2002-01-01
2.925442304686318,2002-02-01
3.8042809140175353,2002-03-01
6.6161194417738995,2002-04-01
6.155148614473483,2002-05-01
5.7601374031040935,2002-06-01
5.7006130841970455,2002-07-01
5.50635920950626,2002-08-01
5.43215677334408,2002-09-01
3.0604489462815243,2002-10-01
1.9745776197533482,2002-11-01
1.1596971347754201,2002-12-01
2.3230012842852785,2003-01-01
3.623941010256153,2003-02-01
5.454045718651865,2003-03-01
6.728072545635056,2003-04-01
6.390996309093335,2003-05-01
7.1931231121518495,2003-06-01
5.89014171278812,2003-07-01
6.977436648198691,2003-08-01
6.0641745839266,2003-09-01
4.348424466175128,2003-10-01
2.344859209321883,2003-11-01
1.735241364517357,2003-12-01
1.684897276135668,2004-01-01
2.9013596866902955,2004-02-01
3.712269374701494,2004-03-01
4.786703685295929,2004-04-01
6.853932731834798,2004-05-01
6.985119353984343,2004-06-01
5.5768446499089315,2004-07-01
5.733611134343063,2004-08-01
5.443802185963545,2004-09-01
3.2984699688424497,2004-10-01
1.6342209292426921,2004-11-01
1.767874095059207,2004-12-01
1.975580281344731,2005-01-01
2.56347038541698,2005-02-01
2.637653051926669,2005-03-01
5.096424981002245,2005-04-01
7.180347400373888,2005-05-01
6.618902568589209,2005-06-01
5.802822955296718,2005-07-01
6.886339824460321,2005-08-01
5.095545254528604,2005-09-01
2.871876038276472,2005-10-01
3.0825537571326995,2005-11-01
1.8677243129741532,2005-12-01
1.6900481926216047,2006-01-01
2.338342714014373,2006-02-01
3.1662678531260884,2006-03-01
5.574045969941977,2006-04-01
5.670979325282526,2006-05-01
7.9607592340828885,2006-06-01
9.285922929238165,2006-07-01
5.108250221387878,2006-08-01
5.298548800178202,2006-09-01
3.221354067891373,2006-10-01
3.253023115390851,2006-11-01
1.5619513905043507,2006-12-01
2.071889424349836,2007-01-01
2.513312381993265,2007-02-01
4.967512743089451,2007-03-01
7.270185290533762,2007-04-01
5.449344479752644,2007-05-01
4.830176215486552,2007-06-01
5.964100480957305,2007-07-01
6.512341446182614,2007-08-01
4.999976836629995,2007-09-01
3.5918788672248705,2007-10-01
2.399287122742497,2007-11-01
1.617199820065251,2007-12-01
1.573816467416538,2008-01-01
4.2153280501709585,2008-02-01
3.7914586546611644,2008-03-01
5.330110547787731,2008-04-01
6.502957181904888,2008-05-01
7.124947730105847,2008-06-01
6.362771817703274,2008-07-01
3.9301166406940573,2008-08-01
4.148547866990044,2008-09-01
3.982972286581818,2008-10-01
1.843285186037117,2008-11-01
2.1357373743841666,2008-12-01
1.9597632735816763,2009-01-01
1.9830407323614894,2009-02-01
5.009944970966716,2009-03-01
5.674282837928785,2009-04-01
6.884537271782012,2009-05-01
7.007729826718791,2009-06-01
6.179206214814545,2009-07-01
5.868541871094133,2009-08-01
5.014471306594052,2009-09-01
2.9450170857437152,2009-10-01
2.3267143123423124,2009-11-01
1.9989932938334736,2009-12-01
1.8767686518837927,2010-01-01
2.1411527446850234,2010-02-01
4.049848086851803,2010-03-01
6.858118032666884,2010-04-01
6.855168072291649,2010-05-01
7.947981287962771,2010-06-01
5.2295893718780855,2010-07-01
4.912164030907614,2010-08-01
4.46617270331684,2010-09-01
3.5853231849708798,2010-10-01
2.2251363666470425,2010-11-01
1.4273812252586837,2010-12-01
1.6848694413173746,2011-01-01
1.806635051797659,2011-02-01
4.276407213616134,2011-03-01
7.307219062917321,2011-04-01
6.6901582301547755,2011-05-01
6.913525165134287,2011-06-01
6.014396120657171,2011-07-01
4.835368643273541,2011-08-01
5.12399640300347,2011-09-01
3.712617274987472,2011-10-01
2.0333348604509642,2011-11-01
1.6294236818314232,2011-12-01
2.1411844008875582,2012-01-01
2.5760465642604986,2012-02-01
5.3380450808925115,2012-03-01
